Category,Graph ID,id,Vertices,Edges,Prim Cost,Kruskal Cost,Prim Ops,Kruskal Ops,Prim Time (ms),Kruskal Time (ms)
small,1,S1,10,21,251,251,106,98,2.07,2.15
small,2,S2,15,46,299,299,383,339,0.18,0.17
small,3,S3,20,88,354,354,625,610,0.21,0.31
small,4,S4,25,171,198,198,1439,1375,0.33,0.38
small,5,S5,30,225,239,239,2482,2079,0.70,0.54
medium,6,M1,50,410,376,376,2829,3444,0.71,0.96
medium,7,M2,75,631,495,495,5023,5856,0.78,1.41
medium,8,M3,100,1241,517,517,8019,12118,1.00,3027
medium,9,M4,125,2670,373,373,15909,27519,1.93,5.20
medium,10,M5,150,4086,367,367,22755,42319,4.47,5.85
medium,11,M6,175,5530,399,399,29468,58857,3.95,3.89
medium,12,M7,200,6533,469,469,33568,68676,3.99,3.84
medium,13,M8,225,9874,461,461,51851,105472,6.24,5.93
medium,14,M9,250,7257,632,632,39029,76878,1.85,5.16
medium,15,M10,300,12208,594,594,57803,130121,3.05,7.11
large,16,L1,400,11880,1041,1041,73363,129660,3.12,7.09
large,17,L2,450,13091,1087,1087,70561,141350,3.46,8.39
large,18,L3,500,18543,1055,1055,100846,200933,5.68,11.45
large,19,L4,550,17470,1410,1410,114266,192227,5.57,8.34
large,20,L5,600,14198,1761,1761,105893,158569,3.79,9.13
large,21,L6,650,23221,1455,1455,138115,254272,6.33,16.35
large,22,L7,700,24929,1496,1496,183034,279392,7.28,12.22
large,23,L8,800,43021,1368,1368,244299,470103,9.80,21.35
large,24,L9,900,34942,1787,1787,229283,385341,8.91,17.49
large,25,L10,1000,74163,1357,1357,361197,804590,13.84,30.73
extra,26,X1,1300,36187,3586,3586,270678,408600,10.04,13.62
extra,27,X2,1600,67167,3167,3167,501957,753551,17.74,24.17
extra,28,X3,2000,97808,3505,3505,569677,1072229,24.49,38.43
extra,29,X4,2300,140388,3500,3500,784157,1535271,31.01,40.36
extra,30,X5,2600,164921,3886,3886,955543,1809665,33.82,48.93
extra,31,X6,3000,164777,4930,4930,891171,1801308,29.91,47.40
